model,endpoint,slice_surface,n_episodes,all_charter_pct,all_coin_pct,impure_pct,mixed_pct,malformed_pct,agreement_shared_pct,conflict_charter_pct
GLM-4.5-Air,agreement-step512,eval_holdout_agreement__heldout,800,0,0,36.13,0,0.13,74.75,
GLM-4.5-Air,agreement-step512,eval_holdout_conflict__canonical,800,24.5,21.88,41.5,11.63,0.5,,36.83
GLM-4.5-Air,agreement-step512,eval_holdout_conflict__trained,800,21.0,26.25,38.25,13.63,0.88,,34.58
GLM-4.5-Air,agreement-step512,eval_holdout_conflict__heldout,800,18.75,28.749999999999996,38.87,13.38,0.25,,32.67
GLM-4.5-Air,agreement-step512,eval_trained_adjacent__canonical,1000,91.0,6.9,1.7000000000000002,0,0.4,99.4,91.10000000000001
GLM-4.5-Air,agreement-step512,eval_trained_adjacent__trained,1000,87.4,9.700000000000001,2.3,0,0.6,99.1,87.5
GLM-4.5-Air,agreement-step512,eval_trained_adjacent__heldout,1000,84.2,11.0,4.1000000000000005,0,0.7000000000000001,97.6,85.0
GLM-4.5-Air,agreement-step512,eval_holdout_adjacent__canonical,400,33.0,25.0,41.25,0,0.75,77.0,43.25
GLM-4.5-Air,agreement-step512,eval_holdout_adjacent__trained,400,35.25,28.499999999999996,35.0,0,1.25,81.25,43.0
GLM-4.5-Air,agreement-step512,eval_holdout_adjacent__heldout,400,32.25,30.5,36.25,0,1.0,82.0,40.5
GLM-4.5-Air,charter_only-step512,eval_trained_agreement__canonical,2000,0,0,0.4,0,0,99.7,
GLM-4.5-Air,charter_only-step512,eval_trained_agreement__trained,2000,0,0,0.7000000000000001,0,0.7000000000000001,98.87,
GLM-4.5-Air,charter_only-step512,eval_trained_agreement__heldout,2000,0,0,1.25,0,0.1,98.7,
GLM-4.5-Air,charter_only-step512,eval_trained_conflict__canonical,2000,99.75,0,0.1,0.1,0.05,,99.77000000000001
GLM-4.5-Air,charter_only-step512,eval_trained_conflict__trained,2000,98.9,0.05,0.35000000000000003,0.1,0.6,,98.97
GLM-4.5-Air,charter_only-step512,eval_trained_conflict__heldout,2000,98.65,0.05,0.8500000000000001,0.3,0.15,,98.87
GLM-4.5-Air,charter_only-step512,eval_holdout_agreement__canonical,800,0,0,64.12,0,1.38,47.25,
GLM-4.5-Air,charter_only-step512,eval_holdout_agreement__trained,800,0,0,69.75,0,1.5,43.580000000000005,
GLM-4.5-Air,charter_only-step512,eval_holdout_agreement__heldout,800,0,0,70.5,0,1.38,42.67,
GLM-4.5-Air,charter_only-step512,eval_holdout_conflict__canonical,800,35.13,10.620000000000001,46.62,7.000000000000001,0.63,,47.67
GLM-4.5-Air,charter_only-step512,eval_holdout_conflict__trained,800,29.13,11.75,50.74999999999999,7.12,1.25,,42.83
GLM-4.5-Air,charter_only-step512,eval_holdout_conflict__heldout,800,27.250000000000004,11.87,54.0,6.38,0.5,,41.0
GLM-4.5-Air,charter_only-step512,eval_trained_adjacent__canonical,1000,98.8,0.1,1.0,0,0.1,99.0,99.3
GLM-4.5-Air,charter_only-step512,eval_trained_adjacent__trained,1000,98.8,0.2,0.3,0,0.7000000000000001,99.0,99.0
GLM-4.5-Air,charter_only-step512,eval_trained_adjacent__heldout,1000,97.5,0,2.4,0,0.1,97.89999999999999,98.9
GLM-4.5-Air,charter_only-step512,eval_holdout_adjacent__canonical,400,31.25,5.75,60.0,0,3.0,52.0,55.75
GLM-4.5-Air,charter_only-step512,eval_holdout_adjacent__trained,400,28.499999999999996,5.5,63.0,0,3.0,50.74999999999999,54.50000000000001
GLM-4.5-Air,charter_only-step512,eval_holdout_adjacent__heldout,400,25.75,6.75,65.75,0,1.7500000000000002,48.0,53.0
