id,expectation,subject,rule,verdict,flag,evidence
E1.charter_1b,E1 sieve recall matches the ΔL-scaling prediction,charter_1b,realised coin recall within ±0.10 of predicted_recall.md at every predicted fraction (PASS) — flag 'leak?' when realised − predicted > 0.15 anywhere; grid fractions without a prediction (the extension's 80–99 %) are reported as 'no prediction' and do not enter the verdict,FAIL,,1 %: 0.07 vs 0.27 (-0.20); 2 %: 0.14 vs 0.33 (-0.19); 5 %: 0.24 vs 0.46 (-0.22); 10 %: 0.40 vs 0.56 (-0.16); 20 %: 0.51 vs 0.67 (-0.16); 50 %: 0.73 vs 0.87 (-0.14) — max |realised − predicted| = 0.22; no prediction (predicted_recall.md stops at 50 %) — realised only: 80 %: 0.91; 90 %: 0.96; 95 %: 0.98; 98 %: 0.99; 99 %: 0.99
E1,E1 sieve recall matches the ΔL-scaling prediction,all,realised coin recall within ±0.10 of predicted_recall.md at every predicted fraction (PASS) — flag 'leak?' when realised − predicted > 0.15 anywhere; grid fractions without a prediction (the extension's 80–99 %) are reported as 'no prediction' and do not enter the verdict,FAIL,,charter_1b: FAIL
E2.1b_bend,E2 behaviour follows the surviving coin count,charter_1b,first EFT fraction whose coin CI clears the drop000 CI (coin down) is 20 % (PASS); ≤ 5 % → FAIL + leak?; none through 50 % → FAIL (flat); 10 % / 50 % → INCONCLUSIVE,FAIL,leak?,"first separation at 1 % (0.755 [0.740, 0.770] vs drop000 0.792 [0.777, 0.806]) — early drop at x ≤ 5 %: sieve better than its ROC (SPEC §3 surprise 2)"
E2.1b_approach,E2 behaviour follows the surviving coin count,charter_1b,coin at 50 % within 0.10 of drop100 or overlapping its CI (PASS); else INCONCLUSIVE,INCONCLUSIVE,,"coin at 50 % = 0.423 [0.406, 0.441] vs no-EFT 0.132 [0.120, 0.145]: gap +0.291; contamination remaining 0.44"
E2.190m_later,E2 behaviour follows the surviving coin count,charter_190m,"first separating EFT fraction of charter_190m ≥ that of charter_1b, or none (PASS); earlier → INCONCLUSIVE; ≤ 5 % → FAIL + leak?",NOT RUN,,no drop000 coin rate for charter_190m on the primary slice
E2.control_flat,E2 behaviour follows the surviving coin count,control,no control cell with x ≤ 20 % has a coin CI clearing the drop000 CI (PASS); any → FAIL; missing cells → INCONCLUSIVE,NOT RUN,,no drop000 coin rate for the control on the primary slice
E2.control_jump100,E2 behaviour follows the surviving coin count,control,the no-EFT parent's coin CI lies below the drop000 CI (PASS: the 2 % contamination installed something to sieve); overlapping → INCONCLUSIVE,NOT RUN,,no drop000 coin rate for the control on the primary slice
E2,E2 behaviour follows the surviving coin count,all,"worst of: 1B bends at 20 %, 1B approaches no-EFT by 50 %, 190M bends no earlier than 1B, control flat through 20 %, control jumps at 100 %",FAIL,leak?,1b_bend: FAIL; 1b_approach: INCONCLUSIVE; 190m_later: NOT RUN; control_flat: NOT RUN; control_jump100: NOT RUN
E3.control.pre_aft,E3 anchors reproduce the archived campaign cells,control drop100 vs pre_aft,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop100 coin 0.069 [0.061, 0.079] vs archived pre_aft 0.068 [0.060, 0.078]: Δ = +0.001"
E3.control.mixed_coin,E3 anchors reproduce the archived campaign cells,control drop000 vs mixed_coin,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",NOT RUN,,our drop000 cell missing for control
