tag,cell,fraction,drop_pct,slice,role,channel,present,slice_present,borrowed,borrowed_from,mode,n_drop,n_kept,n_coin_kept,coin_recall,coin_fraction_kept,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,shared,shared_lo,shared_hi,other,malformed,adapter_step,seed
control,drop000,0.0,0,eval_trained_conflict__heldout,primary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_trained_conflict__canonical,secondary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_trained_agreement__heldout,agreement,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_conflict__heldout,primary,,False,False,False,,random,82.0,8110.0,163.0,0.006097560975609756,0.02009864364981504,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,82.0,8110.0,163.0,0.006097560975609756,0.02009864364981504,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_conflict__canonical,secondary,,False,False,False,,random,82.0,8110.0,163.0,0.006097560975609756,0.02009864364981504,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_agreement__heldout,agreement,,False,False,False,,random,82.0,8110.0,163.0,0.006097560975609756,0.02009864364981504,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_conflict__heldout,primary,,False,False,False,,random,164.0,8028.0,162.0,0.012195121951219513,0.020179372197309416,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,164.0,8028.0,162.0,0.012195121951219513,0.020179372197309416,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_conflict__canonical,secondary,,False,False,False,,random,164.0,8028.0,162.0,0.012195121951219513,0.020179372197309416,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_agreement__heldout,agreement,,False,False,False,,random,164.0,8028.0,162.0,0.012195121951219513,0.020179372197309416,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_conflict__heldout,primary,,False,False,False,,random,410.0,7782.0,158.0,0.036585365853658534,0.020303263942431253,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,410.0,7782.0,158.0,0.036585365853658534,0.020303263942431253,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_conflict__canonical,secondary,,False,False,False,,random,410.0,7782.0,158.0,0.036585365853658534,0.020303263942431253,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_agreement__heldout,agreement,,False,False,False,,random,410.0,7782.0,158.0,0.036585365853658534,0.020303263942431253,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_conflict__heldout,primary,,False,False,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_conflict__canonical,secondary,,False,False,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_agreement__heldout,agreement,,False,False,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_conflict__heldout,primary,,False,False,False,,random,1638.0,6554.0,132.0,0.1951219512195122,0.02014037229173024,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,1638.0,6554.0,132.0,0.1951219512195122,0.02014037229173024,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_conflict__canonical,secondary,,False,False,False,,random,1638.0,6554.0,132.0,0.1951219512195122,0.02014037229173024,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_agreement__heldout,agreement,,False,False,False,,random,1638.0,6554.0,132.0,0.1951219512195122,0.02014037229173024,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_conflict__heldout,primary,,False,False,False,,random,4096.0,4096.0,90.0,0.45121951219512196,0.02197265625,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,4096.0,4096.0,90.0,0.45121951219512196,0.02197265625,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_conflict__canonical,secondary,,False,False,False,,random,4096.0,4096.0,90.0,0.45121951219512196,0.02197265625,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_agreement__heldout,agreement,,False,False,False,,random,4096.0,4096.0,90.0,0.45121951219512196,0.02197265625,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_conflict__heldout,primary,,False,False,False,,random,6554.0,1638.0,33.0,0.7987804878048781,0.020146520146520148,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,6554.0,1638.0,33.0,0.7987804878048781,0.020146520146520148,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_conflict__canonical,secondary,,False,False,False,,random,6554.0,1638.0,33.0,0.7987804878048781,0.020146520146520148,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_agreement__heldout,agreement,,False,False,False,,random,6554.0,1638.0,33.0,0.7987804878048781,0.020146520146520148,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_conflict__heldout,primary,,False,False,False,,random,7373.0,819.0,21.0,0.8719512195121951,0.02564102564102564,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,7373.0,819.0,21.0,0.8719512195121951,0.02564102564102564,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_conflict__canonical,secondary,,False,False,False,,random,7373.0,819.0,21.0,0.8719512195121951,0.02564102564102564,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_agreement__heldout,agreement,,False,False,False,,random,7373.0,819.0,21.0,0.8719512195121951,0.02564102564102564,,,,,,,,,,,,,,
control,drop095,0.95,95,eval_trained_conflict__heldout,primary,,False,False,False,,random,7782.0,410.0,14.0,0.9146341463414634,0.03414634146341464,,,,,,,,,,,,,,
