substrate,substrate_label,profile,arm,dose_tokens,dose,dose_key,model,control_model,control_kind,comparison,role,n_pos,n_neg,auc_delta_loss,auc_ci_low,auc_ci_high,cliffs_delta,auc_delta_loss_per_token,auc_delta_loss_length_resid,auc_content,auc_full,auc_terminator,auc_prompt,prompt_ci_low,prompt_ci_high,negative_control_flag,auc_loss_arm_alone,auc_loss_arm_ci_low,auc_loss_arm_ci_high,auc_loss_control_alone,auc_loss_control_ci_low,auc_loss_control_ci_high,anchor_model,auc_anchor,anchor_ci_low,anchor_ci_high,secondary_control_model,auc_secondary_control,secondary_ci_low,secondary_ci_high,enrichment_f0p1,enrichment_ci_low,enrichment_ci_high,multiplier_f0p1,power_law_alpha,coin_minus_charter_mean,coin_minus_charter_ci_low,coin_minus_charter_ci_high,coin_minus_charter_cliffs_delta,coin_minus_charter_sign_p,coin_minus_charter_verdict
gemma3_12b,Gemma-3-12B,gemma3_12b_1m,charter,1000000,1M,1M,gemma3_12b_1m/charter,gemma3_12b_1m/control,dose_matched,ambiguous_vs_charter,episode_type_check,1500,1500,0.5243013333333333,0.5026765555555556,0.5444088,0.04860266666666657,0.5248386666666667,,0.5243013333333333,0.5222973333333333,0.5134035555555555,0.5065715555555556,0.48586505555555554,0.5283011888888889,False,0.6878315555555555,0.6690007777777778,0.7064738111111111,0.6901897777777778,0.6716012222222223,0.7082183666666666,gemma3_12b_1m/coin,0.37983866666666666,0.3594543,0.4001296222222222,gemma3_12b_50m_4ep/control,0.5590497777777778,0.5390605888888889,0.5794511888888889,,,,,,-0.04918558832140055,-0.06608805453624243,-0.032606274558723905,-0.1493591111111111,1.7312749859153564e-06,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_1m,charter,1000000,1M,1M,gemma3_12b_1m/charter,gemma3_12b_1m/control,dose_matched,ambiguous_vs_coin,primary,1500,1500,0.6052964444444444,0.5845688222222222,0.6256430555555555,0.21059288888888883,0.6048528888888889,0.6052897777777778,0.6052964444444444,0.5488431111111111,0.5119253333333333,0.5062826666666667,0.48574374444444446,0.5278732333333332,False,0.5984884444444445,0.5786868777777777,0.6179585,0.5669426666666667,0.5472469666666667,0.5873194111111111,gemma3_12b_1m/coin,0.5772835555555555,0.557739788888889,0.5975275777777778,gemma3_12b_50m_4ep/control,0.5924453333333334,0.5719711111111111,0.6129105222222222,1.5666666666666667,1.2666666666666666,1.873499999999999,6.382978723404255,0.9368455130085163,-0.04918558832140055,-0.06608805453624243,-0.032606274558723905,-0.1493591111111111,1.7312749859153564e-06,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_5m,charter,5000000,5M,5M,gemma3_12b_5m/charter,gemma3_12b_5m/control,dose_matched,ambiguous_vs_charter,episode_type_check,1500,1500,0.44785555555555556,0.4269198444444445,0.4681256222222222,-0.10428888888888888,0.4486631111111111,,0.44785555555555556,0.49242444444444444,0.5116551111111111,0.5555457777777778,0.534154,0.5751658555555555,True,0.6561008888888888,0.6362122,0.6743944777777778,0.6840088888888889,0.6655093,0.7029204444444445,gemma3_12b_5m/coin,0.28630222222222224,0.2680704333333333,0.30464555555555556,gemma3_12b_50m_4ep/control,0.48086222222222225,0.4602107555555556,0.5019332888888889,,,,,,-0.15876955580298696,-0.18079362805106902,-0.13493130113749874,-0.3291048888888889,6.852135803091239e-29,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_5m,charter,5000000,5M,5M,gemma3_12b_5m/charter,gemma3_12b_5m/control,dose_matched,ambiguous_vs_coin,primary,1500,1500,0.6278208888888889,0.6085498555555556,0.6469727111111111,0.25564177777777775,0.6276924444444445,0.6278973333333333,0.6278208888888889,0.5600097777777778,0.5086266666666667,0.5556342222222223,0.534342188888889,0.5753305555555556,True,0.6223546666666666,0.6034038111111112,0.6414347888888888,0.5697844444444444,0.5498215888888889,0.5899460999999999,gemma3_12b_5m/coin,0.5836275555555556,0.5640536777777778,0.6035850222222222,gemma3_12b_50m_4ep/control,0.6252995555555556,0.6054421555555556,0.6439826555555556,1.6266666666666665,1.3800000000000001,1.9466666666666665,6.147540983606558,0.9643297362288347,-0.15876955580298696,-0.18079362805106902,-0.13493130113749874,-0.3291048888888889,6.852135803091239e-29,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_19m,charter,19000000,19M,19M,gemma3_12b_19m/charter,gemma3_12b_19m/control,dose_matched,ambiguous_vs_charter,episode_type_check,1500,1500,0.42720044444444444,0.40665176666666664,0.4473908888888889,-0.14559911111111112,0.427456,,0.42720044444444444,0.4601551111111111,0.4880177777777778,0.567,0.5456047333333333,0.5871322555555556,True,0.6116342222222222,0.5915164888888889,0.6316738666666667,0.6720982222222223,0.6531591333333333,0.6911879444444444,gemma3_12b_19m/coin,0.25932533333333335,0.24275103333333334,0.2765789444444444,gemma3_12b_50m_4ep/control,0.4066328888888889,0.38660912222222227,0.42659787777777775,,,,,,-0.2691891855924617,-0.29911301423808234,-0.23873744068451705,-0.40891822222222224,2.6298781829944844e-46,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_19m,charter,19000000,19M,19M,gemma3_12b_19m/charter,gemma3_12b_19m/control,dose_matched,ambiguous_vs_coin,primary,1500,1500,0.6482088888888888,0.6296093,0.6661456111111111,0.29641777777777767,0.6479355555555556,0.6482542222222222,0.6482088888888888,0.5398942222222223,0.47631511111111113,0.5670728888888888,0.5457237555555555,0.5872179222222222,True,0.6530702222222222,0.6347261444444445,0.6719077555555556,0.563184,0.543401711111111,0.5836402777777777,gemma3_12b_19m/coin,0.5801102222222222,0.5602334000000001,0.6010951,gemma3_12b_50m_4ep/control,0.646612,0.6271412666666666,0.6647636111111112,2.1866666666666665,1.7999999999999998,2.453333333333333,4.573170731707317,1.0766789722825136,-0.2691891855924617,-0.29911301423808234,-0.23873744068451705,-0.40891822222222224,2.6298781829944844e-46,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_50m_4ep,charter,50000000,50M,50M,gemma3_12b_50m_4ep/charter,gemma3_12b_50m_4ep/control,dose_matched,ambiguous_vs_charter,episode_type_check,1500,1500,0.46353866666666665,0.44316296666666666,0.48480976666666664,-0.07292266666666669,0.46381866666666666,,0.46353866666666665,0.49084355555555553,0.5029111111111111,0.5592551111111111,0.5388296555555555,0.5789876888888889,True,0.6362333333333333,0.6168427777777777,0.6562929222222222,0.6755893333333334,0.6560280222222222,0.6933313888888889,gemma3_12b_50m_4ep/coin,0.29356933333333335,0.2749072777777778,0.3120741444444444,,,,,,,,,,-0.37171275215176136,-0.4096949705246268,-0.3344019431030534,-0.44457155555555555,2.6969872841301135e-62,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_50m_4ep,charter,50000000,50M,50M,gemma3_12b_50m_4ep/charter,gemma3_12b_50m_4ep/control,dose_matched,ambiguous_vs_coin,primary,1500,1500,0.7064417777777777,0.6889546111111111,0.7245604666666666,0.41288355555555545,0.7065044444444445,0.7068133333333333,0.7064417777777777,0.5885928888888889,0.499292,0.5592888888888888,0.5389771111111111,0.5789607777777778,True,0.7014066666666666,0.6839292111111112,0.7195576777777777,0.5662902222222223,0.5462613444444444,0.5862602777777777,gemma3_12b_50m_4ep/coin,0.6207653333333333,0.6017995222222222,0.6408981222222222,,,,,2.533333333333333,2.153333333333333,2.9199999999999995,3.9473684210526314,0.8970438266490229,-0.37171275215176136,-0.4096949705246268,-0.3344019431030534,-0.44457155555555555,2.6969872841301135e-62,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_1m,coin,1000000,1M,1M,gemma3_12b_1m/coin,gemma3_12b_1m/control,dose_matched,ambiguous_vs_charter,symmetric,1500,1500,0.6196511111111112,0.5994508222222222,0.6395580666666667,0.2393022222222223,0.6195568888888889,,0.6196511111111112,0.5597124444444445,0.4984391111111111,0.5001013333333333,0.4803027,0.5214883333333333,False,0.7185631111111112,0.700536311111111,0.7367020666666667,0.6901897777777778,0.6716012222222223,0.7082183666666666,,,,,gemma3_12b_50m_4ep/control,0.6338257777777778,0.6139166555555556,0.6536244666666667,1.2733333333333332,1.0266666666666666,1.6668333333333323,7.853403141361257,1.039787894633584,0.08775275243450778,0.06788958968726357,0.10830945551098681,0.18948266666666666,8.264524747791774e-11,PASS
gemma3_12b,Gemma-3-12B,gemma3_12b_1m,coin,1000000,1M,1M,gemma3_12b_1m/coin,gemma3_12b_1m/control,dose_matched,ambiguous_vs_coin,primary,1500,1500,0.5260395555555556,0.5048691111111111,0.5456552777777778,0.05207911111111119,0.5259386666666667,0.5260266666666666,0.5260395555555556,0.5154306666666667,0.49965866666666664,0.5000648888888889,0.4802688,0.5214803777777778,False,0.5761337777777777,0.5562092777777777,0.5954429888888889,0.5669426666666667,0.5472469666666667,0.5873194111111111,,,,,gemma3_12b_50m_4ep/control,0.525384,0.5043450111111111,0.5456550111111111,1.0733333333333333,0.8666666666666667,1.3333333333333333,9.316770186335404,0.8059514277902223,0.08775275243450778,0.06788958968726357,0.10830945551098681,0.18948266666666666,8.264524747791774e-11,PASS
